id;model;params;isDefault;triangleTestMean;triangleTestStd;triangleTrainMean;triangleTrainStd;triangleBestTest;triangleBestTrain;molesolTestMean;molesolTestStd;molesolTrainMean;molesolTrainStd;molesolBestTest;molesolBestTrain;mollipoTestMean;mollipoTestStd;mollipoTrainMean;mollipoTrainStd;mollipoBestTest;mollipoBestTrain;molfreesolvTestMean;molfreesolvTestStd;molfreesolvTrainMean;molfreesolvTrainStd;molfreesolvBestTest;molfreesolvBestTrain;zincTestMean;zincTestStd;zincTrainMean;zincTrainStd;zincBestTest;zincBestTrain
0;GCN;;1;0.273;0.004;0.209;0.004;0;0;0.706;0.001;0.787;0.013;0;0;0.232;0.002;0.243;0.004;0;0;0.015;0.242;0.207;0.205;0;0;0.547;0.414;0.550;0.412;0;0
1;GIN;;1;0.469;0.056;0.456;0.081;0;0;0.729;0.006;0.809;0.015;0;0;0.353;0.052;0.451;0.091;1;1;0.243;0.125;0.748;0.069;0;1;0.790;0.003;0.787;0.003;0;0
2;2-WL-GNN;;1;0.997;0.006;0.988;0.008;1;1;0.747;0.007;0.822;0.007;1;1;0.318;0.017;0.380;0.024;0;0;0.379;0.207;0.624;0.251;1;0;0.803;0.006;0.802;0.006;1;1
3;DrGCN;;1;0.234;0.002;0.358;0.013;0;0;0.714;0.003;0.779;0.005;0;0;0.327;0.006;0.510;0.016;0;0;0.483;0.011;0.646;0.008;0;0;0.879;0.002;0.882;0.001;0;0
4;DrGIN;;1;0.502;0.028;0.589;0.011;0;0;0.712;0.007;0.799;0.004;0;0;0.429;0.026;0.545;0.023;0;0;0.439;0.065;0.749;0.056;0;0;0.894;0.012;0.903;0.015;0;1
5;2-WL-DrGNN;;1;1.000;0.000;1.000;0.000;1;1;0.745;0.009;0.842;0.004;1;1;0.505;0.012;0.613;0.025;0;0;0.525;0.010;0.869;0.023;0;1;0.894;0.008;0.900;0.010;1;0
6;CmpGCN;;1;0.195;0.007;0.352;0.004;0;0;0.632;0.076;0.704;0.061;0;0;0.381;0.008;0.563;0.024;0;0;0.351;0.055;0.568;0.030;0;0;0.819;0.002;0.823;0.002;0;0
7;CmpGIN;;1;0.520;0.070;0.522;0.080;0;0;0.710;0.007;0.793;0.006;0;0;0.506;0.013;0.706;0.029;1;1;0.518;0.018;0.792;0.021;0;0;0.891;0.006;0.894;0.007;0;0
8;2-WL-CmpGNN;;1;1.000;0.000;1.000;0.000;1;1;0.718;0.020;0.770;0.038;0;0;0.503;0.010;0.666;0.013;0;0;0.527;0.064;0.849;0.038;1;0;0.873;0.002;0.876;0.002;0;0
